From :   1  To : 200 Step =   1 Job=V
   SIZE           FLops           Time          Lwork
    187 :    19695.40 MFlops :       0.01 Sec : 24310
    188 :    13589.73 MFlops :       0.01 Sec : 24440
    189 :    15802.37 MFlops :       0.01 Sec : 24570
    190 :    17425.46 MFlops :       0.01 Sec : 24700
    191 :    12534.27 MFlops :       0.01 Sec : 24830
    192 :    19886.97 MFlops :       0.01 Sec : 24960
    193 :    13465.74 MFlops :       0.01 Sec : 25090
    194 :    18126.10 MFlops :       0.01 Sec : 25220
    195 :    10987.32 MFlops :       0.02 Sec : 25350
    196 :    22959.20 MFlops :       0.01 Sec : 25480
    197 :    14095.84 MFlops :       0.01 Sec : 25610
    198 :    15075.89 MFlops :       0.01 Sec : 25740
    199 :     4312.15 MFlops :       0.05 Sec : 25870
    200 :    17087.69 MFlops :       0.01 Sec : 26000
