From :   1  To : 200 Step =   1
   SIZE       Residual     Decompose            Solve           Total
    147 :   1.131892e-04     7843.27 MFlops    2401.00 MFlops    7503.12 MFlops
    148 :   2.467632e-05     8094.36 MFlops    2738.00 MFlops    7791.53 MFlops
    149 :   6.798506e-04     8167.78 MFlops    2466.78 MFlops    7811.46 MFlops
    150 :   2.121925e-05     7601.35 MFlops    2500.00 MFlops    7308.92 MFlops
    151 :   2.276897e-05     9524.07 MFlops    2533.44 MFlops    9038.23 MFlops
    152 :   3.302097e-05     9634.59 MFlops    2888.00 MFlops    9217.81 MFlops
    153 :   4.053116e-05     9666.87 MFlops    2754.00 MFlops    9221.73 MFlops
    154 :   3.533363e-04     7829.08 MFlops    2790.12 MFlops    7567.91 MFlops
    155 :   3.778934e-05     9773.95 MFlops    2528.95 MFlops    9269.72 MFlops
    156 :   4.249811e-05     9848.03 MFlops    2863.06 MFlops    9414.66 MFlops
    157 :   3.814697e-05     9999.72 MFlops    2738.78 MFlops    9526.18 MFlops
    158 :   1.573563e-05    10192.02 MFlops    2773.78 MFlops    9708.22 MFlops
    159 :   1.686811e-05    10346.66 MFlops    2809.00 MFlops    9856.85 MFlops
    160 :   5.722046e-05    10462.32 MFlops    3011.76 MFlops   10006.71 MFlops
    161 :   3.510714e-05    10783.67 MFlops    4320.17 MFlops   10496.40 MFlops
    162 :   1.723766e-04    12431.37 MFlops    4037.54 MFlops   11978.59 MFlops
    163 :   6.568432e-05    12182.13 MFlops    4087.54 MFlops   11761.21 MFlops
    164 :   1.978874e-05    12303.89 MFlops    4890.18 MFlops   11977.69 MFlops
    165 :   2.515316e-05    12124.49 MFlops    4950.00 MFlops   11818.60 MFlops
    166 :   1.384020e-04    12867.22 MFlops    4592.67 MFlops   12468.44 MFlops
    167 :   3.671646e-05    12883.72 MFlops    4648.17 MFlops   12493.10 MFlops
    168 :   2.217293e-05    12902.40 MFlops    5131.64 MFlops   12568.50 MFlops
    169 :   6.043911e-05    13520.47 MFlops    5712.20 MFlops   13205.62 MFlops
    170 :   1.478195e-05    14117.82 MFlops    5254.55 MFlops   13716.60 MFlops
    171 :   4.315376e-05    14006.19 MFlops    5848.20 MFlops   13677.24 MFlops
    172 :   3.564358e-05    13461.50 MFlops    5378.91 MFlops   13123.45 MFlops
    173 :   2.181530e-05    14146.77 MFlops    5441.64 MFlops   13771.25 MFlops
    174 :   6.270409e-05    14104.48 MFlops    6055.20 MFlops   13793.70 MFlops
    175 :   1.296163e-03    14291.67 MFlops    5104.17 MFlops   13870.87 MFlops
    176 :   5.197525e-05    14480.15 MFlops    5632.00 MFlops   14108.66 MFlops
    177 :   1.633167e-04    14611.94 MFlops    5696.18 MFlops   14240.45 MFlops
    178 :   2.193451e-05    14573.00 MFlops    5760.73 MFlops   14212.65 MFlops
    179 :   6.703138e-04    11764.80 MFlops    2912.82 MFlops   11203.58 MFlops
    180 :   8.881092e-05    13046.98 MFlops    3410.53 MFlops   12469.40 MFlops
    181 :   1.746416e-05    12876.74 MFlops    3120.10 MFlops   12252.08 MFlops
    182 :   8.225441e-05    13048.85 MFlops    3154.67 MFlops   12417.30 MFlops
    183 :   3.379583e-05    13308.33 MFlops    3044.45 MFlops   12621.99 MFlops
    184 :   2.348423e-05    13483.77 MFlops    3563.79 MFlops   12907.38 MFlops
    185 :   3.874302e-05    13660.46 MFlops    3422.50 MFlops   13038.10 MFlops
    186 :   3.077984e-04    13793.90 MFlops    3294.86 MFlops   13129.81 MFlops
    187 :   1.776218e-04    13623.34 MFlops    3179.00 MFlops   12951.48 MFlops
    188 :   2.571940e-04    14018.30 MFlops    3534.40 MFlops   13394.25 MFlops
    189 :   2.545714e-04    14109.24 MFlops    3402.00 MFlops   13447.91 MFlops
    190 :   2.968311e-05    14156.86 MFlops    3438.10 MFlops   13502.52 MFlops
    191 :   2.187490e-05    14426.23 MFlops    3172.26 MFlops   13675.97 MFlops
    192 :   3.314018e-05    14654.01 MFlops    3510.86 MFlops   13971.78 MFlops
    193 :   6.675720e-05    12513.59 MFlops    5730.62 MFlops   12290.92 MFlops
    194 :   5.632639e-05    16727.11 MFlops    5376.57 MFlops   16206.10 MFlops
    195 :   7.015467e-05    16368.38 MFlops    5432.14 MFlops   15883.86 MFlops
    196 :   2.788305e-04    15834.99 MFlops    6984.73 MFlops   15538.18 MFlops
    197 :   1.271963e-04    16933.27 MFlops    7056.18 MFlops   16585.04 MFlops
    198 :   1.198053e-04    17482.86 MFlops    6534.00 MFlops   17056.29 MFlops
    199 :   2.592802e-05    11496.13 MFlops    5657.29 MFlops   11322.58 MFlops
    200 :   1.555681e-05    17837.24 MFlops    6666.67 MFlops   17406.22 MFlops
