From :   1  To : 200 Step =   1
   SIZE       Residual     Decompose            Solve           Total
    183 :   3.641532e-14    33216.73 MFlops    6088.91 MFlops   30989.82 MFlops
    184 :   4.640732e-14    38453.73 MFlops    6771.20 MFlops   35768.77 MFlops
    185 :   5.295764e-14    32469.87 MFlops    6222.73 MFlops   30422.22 MFlops
    186 :   5.826450e-13    32999.26 MFlops    6290.18 MFlops   30915.57 MFlops
    187 :   1.454392e-13    31820.94 MFlops    6358.00 MFlops   29928.42 MFlops
    188 :   2.552181e-12    36014.48 MFlops    6426.18 MFlops   33585.59 MFlops
    189 :   2.675637e-13    34097.32 MFlops    6494.73 MFlops   31974.04 MFlops
    190 :   4.418688e-14    31976.69 MFlops    6563.64 MFlops   30161.47 MFlops
    191 :   2.635669e-13    34156.23 MFlops    6080.17 MFlops   31879.79 MFlops
    192 :   5.606626e-14    42130.29 MFlops    6144.00 MFlops   38647.74 MFlops
    193 :   1.201261e-13    34479.89 MFlops    6208.17 MFlops   32233.13 MFlops
    194 :   5.151435e-14    34768.50 MFlops    6272.67 MFlops   32518.82 MFlops
    195 :   7.149836e-14    34568.18 MFlops    6337.50 MFlops   32382.58 MFlops
    196 :   6.150636e-14    36374.57 MFlops    6402.67 MFlops   33976.82 MFlops
    197 :   1.327827e-13    33532.34 MFlops    5970.62 MFlops   31360.81 MFlops
    198 :   3.212985e-13    35937.00 MFlops    6534.00 MFlops   33675.23 MFlops
    199 :   4.218847e-14    35024.88 MFlops    6600.17 MFlops   32919.35 MFlops
    200 :   6.150636e-13    41666.67 MFlops    6666.67 MFlops   38666.67 MFlops
