From :   1  To : 200 Step =   1
   SIZE       Residual     Decompose            Solve           Total
    167 :   3.601563e-13    10081.09 MFlops    1859.27 MFlops    9351.34 MFlops
    168 :   4.354295e-13     9608.17 MFlops    1946.48 MFlops    8987.53 MFlops
    169 :   1.237899e-13    10119.10 MFlops    1969.72 MFlops    9438.02 MFlops
    170 :   2.420286e-14    10332.28 MFlops    1993.10 MFlops    9633.33 MFlops
    171 :   7.527312e-14     9634.32 MFlops    1886.52 MFlops    8997.23 MFlops
    172 :   5.728751e-14    10279.69 MFlops    5378.91 MFlops   10121.60 MFlops
    173 :   6.139533e-14    13807.25 MFlops    4275.57 MFlops   13301.78 MFlops
    174 :   1.911804e-13    13936.57 MFlops    4325.14 MFlops   13430.71 MFlops
    175 :   1.938671e-12    13533.78 MFlops    4375.00 MFlops   13072.54 MFlops
    176 :   5.406786e-14    13819.46 MFlops    4425.14 MFlops   13344.65 MFlops
    177 :   2.113865e-13    13897.83 MFlops    4177.20 MFlops   13378.93 MFlops
    178 :   1.110223e-13    14029.23 MFlops    4526.29 MFlops   13557.46 MFlops
    179 :   3.659295e-13    13606.97 MFlops    4577.29 MFlops   13178.45 MFlops
    180 :   1.880718e-13    14294.12 MFlops    4984.62 MFlops   13869.47 MFlops
    181 :   2.975398e-14    14220.00 MFlops    4368.13 MFlops   13715.64 MFlops
    182 :   2.737810e-13    14405.18 MFlops    5096.00 MFlops   13990.73 MFlops
    183 :   9.392487e-14    14856.94 MFlops    4465.20 MFlops   14319.43 MFlops
    184 :   4.407585e-14    15047.11 MFlops    4836.57 MFlops   14554.19 MFlops
    185 :   5.906386e-14    15075.30 MFlops    5704.17 MFlops   14690.18 MFlops
    186 :   1.644906e-12    14347.51 MFlops    4942.29 MFlops   13926.82 MFlops
    187 :   4.707346e-14    15032.65 MFlops    4995.57 MFlops   14570.42 MFlops
    188 :   2.302603e-13     6504.82 MFlops    5049.14 MFlops    6475.50 MFlops
    189 :   9.281464e-14    15002.82 MFlops    5103.00 MFlops   14561.43 MFlops
    190 :   5.073719e-14    14562.63 MFlops    5553.85 MFlops   14204.49 MFlops
    191 :   1.365574e-13     1986.00 MFlops    1971.95 MFlops    1985.78 MFlops
    192 :   1.478817e-13    12549.45 MFlops    2168.47 MFlops   11688.59 MFlops
    193 :   1.977307e-13    12513.59 MFlops    2128.51 MFlops   11644.03 MFlops
    194 :   5.884182e-14    11930.37 MFlops    2090.89 MFlops   11132.57 MFlops
    195 :   1.219025e-13    12451.51 MFlops    2001.32 MFlops   11538.62 MFlops
    196 :   4.936052e-13    12838.08 MFlops    2134.22 MFlops   11935.65 MFlops
    197 :   6.594725e-14    12903.58 MFlops    2156.06 MFlops   12005.88 MFlops
    198 :   4.977130e-13    13303.16 MFlops    2119.14 MFlops   12331.77 MFlops
    199 :   3.685940e-14    12876.80 MFlops    2030.82 MFlops   11930.50 MFlops
    200 :   2.708944e-13    13234.08 MFlops    5333.33 MFlops   12950.56 MFlops
