From :   1  To : 200 Step =   1
   SIZE       Residual     Decompose            Solve           Total
    175 :   1.168794e-05    32930.11 MFlops   11666.67 MFlops   31948.72 MFlops
    176 :   3.587237e-05    30224.68 MFlops   11264.00 MFlops   29395.38 MFlops
    177 :   2.882612e-05    31262.77 MFlops   10025.28 MFlops   30196.63 MFlops
    178 :   9.824288e-06    32908.84 MFlops    9387.85 MFlops   31596.72 MFlops
    179 :   1.236778e-06    34138.92 MFlops   11144.70 MFlops   33016.06 MFlops
    180 :   2.865129e-05    33735.36 MFlops   12342.86 MFlops   32803.32 MFlops
    181 :   4.079658e-07    34525.42 MFlops   11395.13 MFlops   33419.40 MFlops
    182 :   1.295581e-05    34132.02 MFlops   11521.39 MFlops   33079.30 MFlops
    183 :   2.528793e-05    34551.02 MFlops   11648.35 MFlops   33489.00 MFlops
    184 :   2.333554e-05    34393.40 MFlops   12311.27 MFlops   33431.40 MFlops
    185 :   6.798942e-05    34457.82 MFlops   11408.33 MFlops   33381.58 MFlops
    186 :   1.948271e-04    34388.01 MFlops   12033.39 MFlops   33403.03 MFlops
    187 :   8.370916e-06    34530.44 MFlops   11190.08 MFlops   33429.48 MFlops
    188 :   1.048993e-05    34948.97 MFlops   12852.36 MFlops   34030.01 MFlops
    189 :   4.374633e-05    33777.46 MFlops   12424.70 MFlops   32894.16 MFlops
    190 :   2.682184e-05    33438.15 MFlops   12556.52 MFlops   32595.56 MFlops
    191 :   8.642402e-07    35325.07 MFlops   12689.04 MFlops   34376.75 MFlops
    192 :   1.268044e-05    35279.19 MFlops   12288.00 MFlops   34292.09 MFlops
    193 :   2.158941e-05    33751.44 MFlops   11919.68 MFlops   32831.05 MFlops
    194 :   7.701752e-07    33861.49 MFlops   10036.27 MFlops   32680.07 MFlops
    195 :   1.216693e-06    34209.34 MFlops   11700.00 MFlops   33240.40 MFlops
    196 :   1.389935e-05    32385.10 MFlops    9913.81 MFlops   31315.04 MFlops
    197 :   5.205419e-05    32883.32 MFlops    9131.53 MFlops   31648.52 MFlops
    198 :   2.304712e-05    32444.69 MFlops   12545.28 MFlops   31694.33 MFlops
    199 :   4.822480e-05    35861.66 MFlops   10219.61 MFlops   34573.32 MFlops
    200 :   2.366975e-05    33970.28 MFlops   12800.00 MFlops   33159.78 MFlops
