From :   1  To : 200 Step =   1
   SIZE       Residual     Decompose            Solve           Total
    164 :   3.535786e-15    22027.19 MFlops    5976.89 MFlops   21013.48 MFlops
    165 :   8.224911e-14    22817.14 MFlops    7260.00 MFlops   21976.22 MFlops
    166 :   1.137201e-13    22800.23 MFlops    7348.27 MFlops   21979.77 MFlops
    167 :   1.086499e-13    23301.88 MFlops    7437.07 MFlops   22456.51 MFlops
    168 :   2.871769e-14    23812.34 MFlops    7526.40 MFlops   22941.43 MFlops
    169 :   3.798280e-14    23836.09 MFlops    7370.58 MFlops   22942.17 MFlops
    170 :   2.644528e-15    23147.23 MFlops    7706.67 MFlops   22370.02 MFlops
    171 :   8.090040e-15    21575.88 MFlops    7088.73 MFlops   20841.51 MFlops
    172 :   3.184450e-14    22317.75 MFlops    7634.58 MFlops   21605.43 MFlops
    173 :   1.168240e-14    23441.84 MFlops    7482.25 MFlops   22619.45 MFlops
    174 :   9.379489e-14    23181.62 MFlops    6728.00 MFlops   22258.99 MFlops
    175 :   1.250753e-14    23088.31 MFlops    7903.23 MFlops   22364.10 MFlops
    176 :   2.936319e-13    23716.26 MFlops    7993.81 MFlops   22959.44 MFlops
    177 :   1.708382e-14    21746.01 MFlops    7832.25 MFlops   21120.67 MFlops
    178 :   2.157313e-14    23796.42 MFlops    7921.00 MFlops   23031.34 MFlops
    179 :   2.463607e-14    23897.25 MFlops    7323.66 MFlops   23037.87 MFlops
    180 :   3.618220e-14    24186.63 MFlops    7405.71 MFlops   23320.35 MFlops
    181 :   9.172345e-15    24031.37 MFlops    7942.06 MFlops   23263.00 MFlops
    182 :   5.867836e-14    23503.19 MFlops    8030.06 MFlops   22791.04 MFlops
    183 :   9.190459e-15    24391.99 MFlops    7654.63 MFlops   23561.06 MFlops
    184 :   1.913964e-14    24180.51 MFlops    7320.22 MFlops   23318.87 MFlops
    185 :   5.099604e-15    23385.50 MFlops    7822.86 MFlops   22665.96 MFlops
    186 :   6.923236e-14    24374.45 MFlops    8140.24 MFlops   23626.54 MFlops
    187 :   1.459566e-13    23532.89 MFlops    7361.89 MFlops   22744.07 MFlops
    188 :   6.114361e-14    24991.71 MFlops    8078.63 MFlops   24196.07 MFlops
    189 :   1.270149e-14    24832.25 MFlops    8164.80 MFlops   24064.67 MFlops
    190 :   5.200078e-15    25159.10 MFlops    8022.22 MFlops   24350.55 MFlops
    191 :   4.429498e-15    24352.54 MFlops    7296.20 MFlops   23502.91 MFlops
    192 :   1.398042e-14    25368.77 MFlops    6858.42 MFlops   24357.41 MFlops
    193 :   3.259219e-14    23933.61 MFlops    8277.56 MFlops   23260.23 MFlops
    194 :   4.303737e-15    24337.95 MFlops    8137.51 MFlops   23621.80 MFlops
    195 :   3.713510e-14    24441.29 MFlops    7419.51 MFlops   23620.24 MFlops
    196 :   2.168660e-14    25742.00 MFlops    8306.16 MFlops   24952.38 MFlops
    197 :   2.371470e-14    24893.36 MFlops    8170.32 MFlops   24151.85 MFlops
    198 :   4.617849e-14    25745.91 MFlops    8476.54 MFlops   24986.14 MFlops
    199 :   4.032198e-14    24958.35 MFlops    8123.28 MFlops   24213.10 MFlops
    200 :   5.359110e-14    26111.79 MFlops    7272.73 MFlops   25149.05 MFlops
